Location,Size(Marla),Beds,Price in Pkr
"Lake City - Sector M7 - Block B, Lake City - Sector M-7",5,4,14500000
"State Life Housing Phase 1, State Life Housing Society",20,5,32500000
"Wapda Town, Lahore",13,5,25000000
"Wapda Town, Lahore",5,3,14000000
"Valencia - Block A, Valencia Housing Society",1,7,38500000
"Bahria Town - Overseas A, Bahria Town - Overseas Enclave",1,7,33000000
"DHA Phase 6, DHA Defence",1,5,43000000
"DHA Phase 6 - Block L, DHA Phase 6",5,5,41500000
"Qilla Gujjar Singh, Lahore",12,5,13000000
"Madina Town, Lahore",10,2,2600000
"Lake City - Sector M7 - Block B, Lake City - Sector M-7",5,3,7700000
"Lake City - Sector M7 - Block B, Lake City - Sector M-7",5,3,8000000
"Bahria Town - Jasmine Block, Bahria Town - Sector C",10,5,23500000
"Elite Town - Block A, Elite Town",6,7,30000000
"DHA Phase 3 - Block Z, DHA Phase 3",6,3,19000000
"Allama Iqbal Town - Nargis Block, Allama Iqbal Town",5,6,19000000
"DHA Phase 7, DHA Defence",5,4,21000000
"Cantt, Lahore",32,5,100000000
"Bahria Town - Jinnah Block, Bahria Town - Sector E",5,3,12000000
"Bahria Town - Jinnah Block, Bahria Town - Sector E",5,3,12500000
"DHA Phase 5, DHA Defence",10,4,31200000
"Bahria Town, Lahore",15,5,20000000
"Bahria Town, Lahore",10,3,10500000
"Bahria Town, Lahore",9,3,10500000
"Bahria Town, Lahore",5,3,10000000
